subj,item,bin,variable,fix
3,30,4,target,0
3,30,5,target,0
3,30,6,target,0
3,30,7,target,0
3,30,8,target,1
3,30,9,target,1
3,30,10,target,1
3,30,11,target,1
3,30,12,target,1
3,30,13,target,1
3,30,14,target,1
3,30,15,target,1
3,30,16,target,1
3,30,17,target,1
3,30,18,target,1
3,30,19,target,1
3,30,20,target,1
3,30,21,target,0
3,30,22,target,0
3,31,1,target,0
3,31,2,target,1
3,31,3,target,1
3,31,4,target,1
3,31,5,target,1
3,31,6,target,0
3,31,7,target,0
3,31,8,target,0
3,31,9,target,0
3,31,10,target,0
3,31,11,target,0
3,31,12,target,1
3,31,13,target,1
3,31,14,target,1
3,31,15,target,1
3,31,16,target,0
3,31,17,target,0
3,31,18,target,0
3,31,19,target,0
3,31,20,target,0
3,31,21,target,0
3,31,22,target,0
3,32,1,target,0
3,32,2,target,0
3,32,3,target,0
3,32,4,target,0
3,32,5,target,0
3,32,6,target,0
3,32,7,target,0
3,32,8,target,0
3,32,9,target,0
3,32,10,target,0
3,32,11,target,0
3,32,12,target,0
3,32,13,target,0
3,32,14,target,0
3,32,15,target,0
3,32,16,target,0
3,32,17,target,0
3,32,18,target,0
3,32,19,target,0
3,32,20,target,0
3,32,21,target,0
3,32,22,target,0
3,33,1,target,0
3,33,2,target,0
3,33,3,target,0
3,33,4,target,0
3,33,5,target,0
3,33,6,target,0
3,33,7,target,0
3,33,8,target,1
3,33,9,target,1
3,33,10,target,1
3,33,11,target,1
3,33,12,target,1
3,33,13,target,1
3,33,14,target,1
3,33,15,target,1
3,33,16,target,1
3,33,17,target,0
3,33,18,target,0
3,33,19,target,0
3,33,20,target,0
3,33,21,target,0
3,33,22,target,1
3,34,1,target,0
3,34,2,target,0
3,34,3,target,0
3,34,4,target,0
3,34,5,target,0
3,34,6,target,0
3,34,7,target,1
3,34,8,target,1
3,34,9,target,1
3,34,10,target,0
3,34,11,target,0
3,34,12,target,0
3,34,13,target,0
3,34,14,target,0
3,34,15,target,0
3,34,16,target,0
3,34,17,target,0
3,34,18,target,0
3,34,19,target,0
3,34,20,target,1
3,34,21,target,1
3,34,22,target,1
3,35,1,target,1
3,35,2,target,1
3,35,3,target,1
3,35,4,target,0
3,35,5,target,0
3,35,6,target,0
3,35,7,target,0
3,35,8,target,0
3,35,9,target,0
3,35,10,target,0
3,35,11,target,0
3,35,12,target,0
3,35,13,target,0
3,35,14,target,0
3,35,15,target,0
3,35,16,target,0
3,35,17,target,0
3,35,18,target,0
3,35,19,target,0
3,35,20,target,1
3,35,21,target,1
3,35,22,target,1
3,36,1,target,1
3,36,2,target,1
3,36,3,target,1
3,36,4,target,1
3,36,5,target,1
3,36,6,target,0
3,36,7,target,0
3,36,8,target,0
3,36,9,target,1
3,36,10,target,1
3,36,11,target,1
3,36,12,target,0
3,36,13,target,0
3,36,14,target,0
3,36,15,target,0
3,36,16,target,0
3,36,17,target,0
3,36,18,target,0
3,36,19,target,0
3,36,20,target,0
3,36,21,target,0
3,36,22,target,0
3,37,1,target,0
3,37,2,target,0
3,37,3,target,0
3,37,4,target,0
3,37,5,target,0
3,37,6,target,0
3,37,7,target,1
3,37,8,target,1
3,37,9,target,1
3,37,10,target,1
3,37,11,target,1
3,37,12,target,1
3,37,13,target,1
3,37,14,target,1
3,37,15,target,0
3,37,16,target,0
3,37,17,target,0
3,37,18,target,0
3,37,19,target,0
3,37,20,target,0
3,37,21,target,0
3,37,22,target,0
3,38,1,target,0
3,38,2,target,0
3,38,3,target,0
3,38,4,target,0
3,38,5,target,1
3,38,6,target,1
